公司名称,公司行业,公司链接,职位,地区,薪资,标签,职位类型
前海再保险,保险,https://www.liepin.com/company/8869115/,寿险再保险-精算定价岗,深圳-南山区,薪资面议,['本科'],应届
伊利实业,食品/饮料/酒水,https://www.liepin.com/company/883905/,伊利2025年校招-数字化培训生（液态奶）,北京-丰台区,10-12k,['硕士'],应届
卓望信息技术(北京)有限公司,运营商/增值服务,https://www.liepin.com/company/21103391/,Python开发岗-北京（25届校招）(J10511),北京-丰台区,15-25k·13薪,['本科'],应届
清华大学天津高端装备研究院,学术/科研,https://www.liepin.com/company/8402139/,飞行控制研究所-Python开发工程师,北京-海淀区,12-15k,['本科'],应届
滴普科技,IT服务,https://www.liepin.com/company/9888355/,【2025校招】大模型交付工程师（Python）J10887,重庆-江北区,6-10k,['本科'],应届
滴普科技,IT服务,https://www.liepin.com/company/9888355/,【2025校招】大模型交付工程师（Python）J10887,北京-海淀区,6-10k,['本科'],应届
滴普科技,IT服务,https://www.liepin.com/company/9888355/,【2025校招】大模型交付工程师（Python）J10887,西安-高新区,6-10k,['本科'],应届
滴普科技,IT服务,https://www.liepin.com/company/9888355/,【2025校招】大模型交付工程师（Python）J10887,杭州-西湖区,6-10k,['本科'],应届
滴普科技,IT服务,https://www.liepin.com/company/9888355/,【2025校招】大模型交付工程师（Python）J10887,成都-武侯区,6-10k,['本科'],应届
深圳华为云计算技术有限公司,云计算/大数据,https://www.liepin.com/company/13441383/,华为python开发工程师（Python、C++、JAVA均可）（招聘名额充足）,上海-青浦区,17-30k·14薪,['本科'],应届
北京先进数通信息技术股份公司,互联网,https://www.liepin.com/company/7109473/,Python实习生（人工智能方向）,北京-海淀区,3-4k,['本科'],应届
青岛龙图信息科技有限公司,计算机软件,https://www.liepin.com/company/13116075/,python实习生,青岛-即墨区,1-3k,['大专'],应届
德科仕通信(上海)有限公司,计算机软件,https://www.liepin.com/company/7874054/,python软件工程师（实习）,上海-浦东新区,4-8k,['大专'],应届
宁波创母体网络科技有限公司,互联网,https://www.liepin.com/company/12162301/,python软件开发工程师,宁波-海曙区,6-8k·14薪,['学历不限'],应届
上海鹰达信息科技有限公司,计算机软件,https://www.liepin.com/company/13115745/,C#开发工程师 兼python开发（应届生）,上海-闵行区,10-12k,['硕士'],应届
华为,通信设备,https://www.liepin.com/company/954482/,Python软件开发工程师,上海-浦东新区,20-30k·14薪,['本科'],应届
首都在线,互联网,https://www.liepin.com/company/2750252/,网络研发工程师-python-25届 (MJ001086),北京-朝阳区,12-25k·14薪,['本科'],应届
信也科技,科技金融,https://www.liepin.com/company/5577249/,2025届校招-Data Engineer(Java/Python),上海-浦东新区,14-26k·14薪,['本科'],应届
玢殷,计算机软件,https://www.liepin.com/company/9930251/,Python开发工程师,宁德-霞浦县,8-10k,['本科'],应届
华龙通科技,通信设备,https://www.liepin.com/company/4856412/,python软件工程师,北京,10-15k,['本科'],应届
华为,电子/半导体/集成电路,https://www.liepin.com/company/8641982/,python软件开发工程师,上海,20-40k·14薪,['本科'],应届
北京乐信圣文科技有限责任公司,互联网,https://www.liepin.com/company/9181084/,2022年校招-Python工程师,北京-海淀区,17-21k,['本科'],应届
北京奥德塔数据科技有限公司,互联网,https://www.liepin.com/company/9332960/,python开发工程师,北京-海淀区,8-12k,['本科'],应届
万得,科技金融,https://www.liepin.com/company/8055349/,软件研发工程师（python）,南京,12-18k,['本科'],应届
千寻位置网络有限公司,云计算/大数据,https://www.liepin.com/company/8651413/,运维开发工程师（Python/Golang方向）--2025校招,上海-杨浦区,薪资面议,['本科'],应届
芜湖飞旭科技有限公司,游戏,https://www.liepin.com/company/13872739/,行政文员,芜湖,5-8k,[],无
卡斯柯信号有限公司,IT服务,https://www.liepin.com/company/9212800/,软件开发工程师（C/C++/Java/C#/Python）(北京·校招)(J10411),上海-静安区,15-25k,['硕士'],应届
华为,电子/半导体/集成电路,https://www.liepin.com/company/8641982/,Python开发工程师,上海-青浦区,19-25k·16薪,['本科'],应届
深圳华为云计算技术有限公司,云计算/大数据,https://www.liepin.com/company/13441383/,华为C++开发工程师（Python、C++、JAVA均可）（招聘名额充足）,上海-青浦区,17-30k·14薪,['本科'],应届
深圳华为云计算技术有限公司,云计算/大数据,https://www.liepin.com/company/13441383/,华为JAVA开发工程师（Python、C++、JAVA均可）（招聘名额充足）,上海-青浦区,17-30k·14薪,['本科'],应届
卡斯柯信号有限公司,IT服务,https://www.liepin.com/company/9212800/,软件开发工程师（C/C++/Java/C#/Python）(北京·校招)(J10411),北京,15-25k,['硕士'],应届
卡斯柯信号有限公司,IT服务,https://www.liepin.com/company/9212800/,软件开发工程师（C/C++/Java/C#/Python）(上海·校招)(J10403),上海-静安区,12-20k·15薪,['硕士'],应届
